id_student,click_events
80868,28615
80886,589
81216,13
81351,817
81536,474
81754,310
82088,1100
82201,591
82341,508
82535,352
82556,1538
82575,658
82741,879
82817,1370
83219,3395
83254,954
83453,382
83553,393
83603,2935
84051,210
84245,657
84299,1986
84541,179
84576,2126
84604,7698
84605,1194
84664,495
84812,
85092,665
85144,656
85241,204
85302,2280
85304,
85325,81
85874,1853
86047,1065
86291,197
86538,1569
86669,2284
87107,861
87152,2253
87264,8480
87322,1791
87431,802
87732,1018
87929,568
88340,187
88439,809
88490,953
88568,
88758,51
88781,888
88910,576
89051,1163
89092,183
89188,1760
89545,595
89727,
89778,141
89850,1227
89895,5614
89904,609
90243,1084
90361,183
90537,810
90651,195
90836,205
90901,2315
90979,168
91040,446
91164,21
91265,1494
91322,1616
91354,103
91470,1521
91629,1657
91801,1354
92103,114
92274,447
92312,39
92341,957
92391,229
92775,10981
92832,1067
92947,1350
92993,974
94484,2275
94616,199
94749,1845
94923,444
94961,1240
94964,199
94978,
95356,
95746,936
95755,381
95906,1721
96117,539
96291,103
96423,589
96475,207
96538,
96592,776
96729,2707
96864,96
96873,402
96874,283
96945,9
97006,189
97154,984
97486,
97567,471
97865,91
97939,98
98094,2839
98256,355
98268,770
98313,145
98452,35
98720,439
98842,368
99075,1369
99088,359
99151,397
99609,139
99670,
99799,553
99993,3922
100064,6514
100282,42
100561,950
100621,59
100788,4395
100893,744
101116,1769
101217,717
101279,112
101306,866
101420,5766
101634,380
101781,4104
102028,4382
102067,67
102209,535
102221,1025
102343,3825
102806,1944
102849,1
102850,1749
102854,4400
102952,1150
103496,1221
103535,381
103800,170
103891,83
103904,1579
103998,49
104054,1451
104213,2245
104316,928
104476,4777
104480,203
104643,1496
104772,1157
105125,558
105168,1107
105413,963
105523,1954
105527,993
105629,5925
105851,385
105883,4022
105939,2900
106095,1243
106247,465
106553,548
106577,733
106588,981
106690,188
106793,404
107028,666
107084,1493
107162,4243
107339,4604
107455,1040
107489,3722
107713,111
107883,626
108118,396
108207,3260
108281,3797
108330,3209
108377,2399
108497,
108565,203
108589,411
108760,846
108789,102
108799,472
108822,7427
108834,290
108859,1996
108872,1377
108949,557
109155,3019
109372,1450
109441,678
109577,3794
109772,199
109782,154
109938,396
110085,1679
110116,4092
110175,998
110200,157
110461,12
110524,876
110529,3039
110640,1805
110789,1084
110820,1114
110881,5032
110911,520
111113,367
111360,697
111512,439
111548,542
111678,
111717,2343
111775,3211
111926,1553
111942,1853
111959,431
112245,2262
112441,969
112454,1131
113295,3553
113565,2515
113698,271
113702,1936
113824,590
114017,757
114367,2234
114402,
114500,3570
114558,1620
114999,1358
115373,3386
115452,590
116174,257
116290,139
116319,276
116499,166
116518,942
116529,1408
116541,1886
116603,1179
116606,511
116621,5554
116631,551
116692,1108
116763,115
116808,12175
117071,74
117197,1009
117232,2692
117281,1427
117435,1355
117510,4070
117544,2580
117545,442
117550,252
117699,473
117818,1695
117862,56
117939,666
118050,1206
118098,537
118176,147
118213,21
118474,474
118479,3463
118532,4531
118578,792
118668,3249
118877,4
118887,10
118983,284
119310,2609
119353,3766
119444,614
119471,592
119729,573
119865,2527
119898,167
119902,2590
120236,1281
120611,125
120994,740
120999,507
121000,342
121056,17
121163,449
121182,92
121349,2259
121390,371
122337,634
122392,809
122459,270
122636,110
122739,526
122846,1051
122928,184
123044,2041
123053,342
123087,470
123183,2893
123270,145
123462,
123497,497
123598,2092
123716,1068
123860,1292
123957,673
124006,734
124018,82
124064,2042
124124,21
124134,1146
124193,945
124304,1995
124379,167
124387,56
124711,265
124728,1988
124909,1520
124944,928
125018,2195
125055,863
125063,3676
125407,160
125535,196
125777,438
125830,1810
125874,45
125996,3327
126074,209
126088,1140
126322,526
126337,2514
126394,3782
126395,1549
126411,25
126450,
126608,443
126713,291
126769,1362
126800,1501
126812,2862
127179,358
127580,3002
127582,
127642,2906
127988,186
128072,153
128132,1357
128142,1706
128348,493
128386,66
128510,872
128656,386
128678,782
128723,76
128776,146
128791,1235
128817,735
128889,9524
128929,1410
128965,518
128968,3192
128971,1982
129198,1516
129212,
129638,921
129878,251
129907,4139
129955,1888
129989,1414
130003,238
130013,252
130034,
130403,5639
130409,1630
130467,1224
130547,1252
130636,332
130658,3496
130671,1199
130837,66
130992,2702
131051,999
131145,8229
131152,377
131222,3902
131235,744
131272,5485
131314,292
131390,157
131538,2307
131597,3110
131609,454
131612,1655
131663,58
131695,223
131776,1065
131820,168
131933,2039
132123,
132157,2770
132191,79
132401,996
132423,402
132453,1661
132475,4300
132477,996
132511,403
132626,480
132924,21
132932,447
132972,176
132976,520
133019,3783
133068,1235
133104,4168
133155,1360
133185,3326
133322,2698
133365,2110
133419,491
133718,585
133748,
133816,4000
133922,574
134025,2896
134123,762
134143,2732
134188,1150
134190,363
134212,2096
134243,2275
134260,1157
134336,278
134563,5183
134578,185
134721,90
134847,2103
134851,6125
134920,236
134982,1088
135075,2881
135280,2412
135330,
135331,24
135335,
135385,2500
135400,610
135471,2291
135763,581
135792,728
135999,188
136054,2362
136135,878
136335,792
136793,678
136894,2793
136944,1473
137150,151
137281,1040
137603,1628
137873,5528
137903,6273
138204,182
138289,575
138407,942
138416,977
138704,1298
138709,702
138710,737
138715,581
138861,818
138920,437
138997,344
139033,790
139190,3198
139206,4604
139250,518
139278,1881
139329,1131
139455,115
139549,286
139701,653
139843,127
139949,3610
140060,2110
140108,61
140518,297
140719,260
140807,2568
140866,3028
140907,3407
141182,12
141301,392
141355,1823
141377,756
141430,3228
141497,491
141506,415
141648,5165
141766,7
141823,276
141827,460
141949,878
142092,2782
142310,2349
142324,778
142326,2121
142339,5463
142819,435
142935,6160
142990,135
142998,7
143350,2637
143711,2127
143741,704
143755,4529
144448,4365
144562,1984
144745,2578
144747,1661
144801,5645
144895,1501
144908,342
144923,311
144959,864
145114,2004
145130,452
145188,26
145280,662
145282,1552
145388,259
145490,1121
145544,
145578,659
145640,2305
145770,42
146089,1
146125,588
146165,167
146188,597
146192,5
146455,91
146485,856
146503,368
146600,324
146651,650
146666,708
146679,637
146738,3756
146943,821
146974,1054
147168,8583
147307,221
147328,2457
147675,866
147715,861
147756,1718
147793,155
147876,342
148008,529
148282,197
148328,1576
148414,1328
148427,421
148515,28
148931,306
148993,3812
149178,2824
149567,
149680,5338
149693,2835
149741,2342
149962,141
149964,200
150121,1113
150282,1794
150398,2129
150578,674
150763,9875
151358,270
151465,2495
151549,285
151587,166
151697,424
151745,591
151800,85
151917,1622
152153,500
152320,2347
152428,3064
152524,9671
152587,5089
152626,7798
152668,765
152671,381
152867,28
152887,351
152910,2194
152917,7558
152929,
152962,8137
152973,784
153110,534
153170,
153212,842
153611,2000
153704,580
153785,5075
153788,3457
154011,681
154027,569
154057,1465
154059,1977
154073,343
154125,97
154191,2695
154540,417
154570,12401
154697,71
155067,75
155158,2386
155256,407
155298,1981
155484,2092
155511,5057
155550,1529
155631,1258
155735,133
155854,4003
155938,2735
155956,2175
155963,452
155984,2645
156127,243
156171,2421
156311,575
156358,652
156594,2094
156783,1101
156788,21
156835,1290
157060,302
157225,
157276,3132
157298,1332
157308,2675
157310,944
157568,1405
157647,124
157752,368
157795,1519
158575,457
158611,752
158707,4746
158708,1680
158831,981
159287,2892
159293,799
159484,101
159571,444
159596,571
159906,1267
159925,2466
159947,
159954,2062
160005,3922
160026,95
160181,2746
160193,314
160262,308
160300,2235
160310,4149
160401,86
160472,1681
160479,429
160536,1900
160720,9
160934,143
160945,572
160946,1711
161491,970
161658,958
161678,94
161781,740
161878,36
162210,2955
162337,1219
162650,399
162809,2460
162901,29
162984,
163067,1066
163120,3716
163332,655
163962,19
163996,775
164148,4129
164211,481
164259,466
164708,283
164922,
164935,673
164944,1300
164968,2613
165099,429
165178,752
165226,1062
165243,1111
165376,911
165421,1178
165498,164
165509,574
165617,4104
165647,710
165733,3948
165806,1495
165823,74
165898,
165904,963
166123,2912
166160,3160
166183,112
166327,3667
166342,810
166421,3328
166607,32
166713,2223
166988,922
167106,2761
167557,641
167717,286
167759,2027
167791,2734
167906,1510
167945,479
167961,2129
168178,1293
168229,6765
168243,161
168843,465
168936,745
169008,910
169079,1832
169213,332
169297,400
169380,
169400,1208
169490,2747
169515,212
169555,277
169596,1242
169700,32
169858,1296
169894,1045
169908,643
170025,691
170030,2759
170165,3807
170356,439
170864,4774
170874,2126
170936,339
170943,2774
171304,1359
171334,380
171549,1053
171692,2326
171751,320
171843,1260
171896,3250
172112,
172137,2095
172301,35
172493,3671
172797,1782
172965,2222
173004,1583
173163,900
173316,1704
173335,
173341,96
173370,1350
173412,2888
173710,3100
173834,2378
174010,1675
174024,812
174094,4841
174222,701
174436,101
174440,196
174468,1
174487,434
174745,1610
174782,6318
174805,927
175392,4447
175447,3779
175453,1319
175490,
175638,267
175772,3018
175804,121
175932,2016
175940,900
175991,138
176086,443
176092,1201
177186,9
177333,1049
177354,923
177472,549
177492,4409
177554,
177568,1020
177639,77
177781,343
177817,
177967,765
177981,1746
178020,1026
178072,516
178118,1120
178179,3689
178258,1671
178496,448
178738,161
178935,12
178963,118
179073,156
179081,2587
179254,45
179297,108
179605,167
179718,1197
179892,2737
179904,637
180651,890
180667,1766
180753,2012
180958,2785
180974,5762
180976,4525
181251,19
181316,487
181508,3565
181719,
181861,1812
181992,1393
182400,1523
182468,2641
182661,26
182824,239
182854,1552
183057,833
183096,1975
183287,162
183331,1305
183429,1552
183714,3289
183806,149
183947,964
184025,112
184129,185
184137,238
184271,1312
184409,2576
184473,1465
184583,152
184627,694
184720,1050
184968,443
184972,1761
185021,101
185024,816
185057,3844
185127,856
185349,4702
185350,236
185439,
185496,2631
185994,2766
186149,2136
186380,4468
186476,1009
186565,609
186670,232
186780,30
186988,368
187100,8562
187199,1813
187257,315
187435,1851
187601,1964
187623,522
187663,724
187793,
188026,444
188152,1314
188251,603
188260,918
188273,1614
188278,4497
188524,203
188662,2762
188766,372
188875,203
189035,934
189095,904
189117,1141
189143,834
189178,3538
189428,715
189442,1633
189624,4949
189629,1670
189664,447
189720,438
189879,1541
190279,13721
190352,234
190418,6673
190565,
190653,861
190780,2180
190910,305
190930,1700
191000,1148
191195,556
191269,886
191398,13
191445,944
191459,789
191504,354
191590,2501
191732,154
191746,313
191797,728
191896,1338
191972,3941
191973,588
191998,148
192183,3219
192186,1250
192196,625
192375,1528
192424,852
192680,4000
192944,1269
193163,1729
193193,1025
193215,307
193310,1236
193803,216
193822,2124
193834,2645
194163,4332
195096,411
195221,93
195234,900
195246,2138
195252,437
195262,1905
195345,1206
195515,
195552,5103
195897,1678
195938,428
195940,381
196132,2433
196189,1102
196266,178
197188,130
197240,330
197412,716
197486,2666
197527,293
197536,1756
197538,380
197595,1111
197730,
197759,1361
198167,2029
198257,266
198315,5
198339,142
198470,262
198691,277
198902,857
198956,3262
199009,2521
199029,505
199244,3448
199261,402
199361,6024
199446,2209
199520,1360
199636,1836
199663,403
199760,1256
199782,366
199897,
200095,6674
200278,250
200372,
200588,348
200773,2058
200804,930
200860,534
200863,148
200905,2514
200957,26
201151,1023
201327,1137
201425,1263
201431,317
202138,348
202394,1184
202487,2613
202489,1084
202506,129
202606,2728
202635,1418
202677,2080
202713,376
202879,117
203050,4217
203066,1206
203108,123
203149,326
203442,53
203481,1136
203568,2480
203640,176
203652,28
203707,3356
203963,515
204117,1220
204182,964
204410,3367
204505,8251
204609,1244
204725,2136
204738,2105
204745,361
204746,410
204996,1048
205350,1665
205398,1357
205417,286
205425,3549
205442,978
205494,1114
205719,333
205788,1028
206003,1064
206245,2039
206342,258
206599,3234
226374,379
226747,616
226827,1433
226839,942
226879,1048
226890,169
226895,919
226955,2052
227020,404
227167,7
227192,3790
227254,24
227297,3226
227401,1489
227416,93
227491,1555
227499,2953
227517,1205
227752,1830
227826,324
228021,4028
228049,14
228082,227
228138,1635
228153,128
228222,445
228242,983
228258,1534
228272,1893
228373,334
228383,2386
228481,1003
228633,2457
228695,1705
228703,3661
228729,8202
228775,938
228784,594
228824,803
228888,598
228909,575
229057,220
229179,614
229240,421
229326,607
229361,1215
229417,444
229426,329
229498,3854
229499,51
230052,833
230081,
230279,3529
230383,3045
230510,167
230656,2
230684,
230761,448
230947,132
231017,1520
231019,
231024,3567
231320,
231339,4784
231554,1839
231572,552
231606,4911
231697,24
231959,427
231973,616
232072,1989
232078,555
232173,4790
232286,4257
232307,702
232347,2915
232480,102
232539,672
232660,5008
232675,769
232695,1274
232764,4445
232827,1241
232833,151
232856,5048
233087,6891
233095,195
233102,782
233153,1251
233311,3328
233317,1112
233335,1892
233389,876
233444,720
233685,4439
233752,7769
233771,
233868,629
233873,1031
233957,414
234004,44
234031,37
234068,859
234196,117
234311,
234406,1016
234552,4053
234559,932
234609,7784
234661,4768
234727,6513
234740,4647
234796,
234827,80
234859,401
234929,422
234957,25
234978,157
235068,
235097,1001
235121,
235131,170
235258,15
235371,275
235380,370
235428,1700
235492,337
235507,1257
235584,323
235670,1592
235706,684
235747,189
235768,2185
235777,1055
235893,2250
235971,3305
235978,5742
236015,256
236017,88
236090,4044
236150,198
236161,746
236205,3318
236284,732
236498,1542
236512,308
236620,5424
236844,1607
236857,699
236875,201
236953,1517
237182,
237274,2025
237304,211
237370,586
237387,1140
237401,2493
237418,141
237506,51
237602,1212
237808,
237891,2100
237913,3540
237921,2431
237925,135
237934,201
237953,1204
238007,1935
238144,733
238150,10605
238255,219
238301,5
238519,303
238800,279
238901,2603
238983,2978
239095,553
239345,3436
239459,2330
239540,3119
239707,444
239748,592
239751,994
239908,806
240024,2703
240186,917
240236,1066
240389,1116
240486,3906
240641,950
240712,321
240755,668
240884,427
240936,52
240993,1246
241039,2805
241066,356
241166,1592
241338,85
241649,1892
241700,187
241728,8641
241729,1829
241769,213
241771,681
241792,666
241922,1477
241955,313
242149,
242254,1157
242390,137
242472,1134
242491,3232
242633,470
242636,131
242778,2047
242793,658
242858,
242893,549
242998,2572
243025,
243358,721
243372,2069
243396,648
243510,549
243600,604
243657,5790
243851,
243909,42
243926,750
243992,236
244064,658
244114,2447
244166,837
244205,4616
244246,1365
244438,112
244738,3574
244816,3071
244875,1359
244902,134
244918,1338
244919,998
244961,2669
244977,
245217,947
245283,2843
245316,981
245404,
245494,5938
245600,680
245605,1525
245653,177
245784,1199
245802,859
245946,382
245987,140
246060,1486
246112,190
246248,4
246652,3796
246829,
246834,1174
247267,559
247292,2338
247304,177
247342,60
247457,1010
247513,648
247653,49
247666,4912
247819,3868
247856,6180
247902,535
247940,250
247967,428
248103,744
248252,239
248270,1969
248511,842
248581,2883
248653,
248695,968
248716,672
248800,92
248818,1145
248882,6379
248961,815
248994,2728
249154,90
249357,3147
249359,300
249362,7165
249423,1312
249534,649
249570,34
249704,327
249750,1824
249965,777
249996,1420
250047,4844
250092,134
250123,170
250159,1167
250163,3076
250644,370
251166,4759
251351,610
251375,3901
251385,3722
251405,2530
251815,84
251916,46
251965,259
251999,2482
252041,3214
252073,865
252095,4757
252149,704
252257,405
252340,200
252489,1054
252652,526
252863,293
253013,
253208,588
253250,1162
253496,2377
253567,280
253577,2702
253579,643
253633,3203
253763,6473
253767,2110
253859,1588
254044,2714
254162,468
254325,5037
254417,235
254446,3394
254463,2951
254612,277
254625,1987
255140,83
255310,5494
255344,4329
255347,1729
255449,56
255548,2580
255622,96
255747,2736
255878,2201
255902,473
255998,408
256144,2886
256532,41
256680,282
256740,5103
256815,1481
256867,3252
256905,502
256998,303
257104,1803
257110,31
257167,1539
257887,3641
257970,15
258010,1096
258035,1948
258042,2176
258245,2570
258268,158
258310,667
258392,844
258402,1
258509,2715
258538,732
258587,6609
258737,1783
258840,511
258894,4963
258978,2269
259060,417
259641,3443
259662,6917
259750,38
259951,283
260062,1288
260077,865
260137,1030
260179,164
260216,40
260275,4
260355,426
260491,3201
260565,589
260623,1178
260639,476
260949,473
260955,456
261160,514
261205,155
261265,2993
261332,262
261335,2107
261342,241
261466,1965
261495,2229
261525,926
261615,4396
261718,493
261863,506
262011,1066
262025,3119
262294,1063
262385,1011
262391,
262394,1653
262396,164
262403,4274
262454,373
262639,
262741,1953
262934,2407
263150,151
263251,2485
263341,914
263448,1625
263499,6663
263524,1001
263543,1594
263697,497
263862,2317
263952,1444
264106,155
264151,922
264152,3454
264159,1375
264164,1173
264281,350
264298,546
264589,33
264694,755
264715,3103
264723,
264732,43
264744,334
264845,811
265112,5014
265170,485
265268,4539
265466,1168
265497,1701
265769,1264
265855,8400
265958,413
265978,1258
266040,827
266097,595
266286,2301
266331,
266450,1203
266514,1625
266524,
266536,3456
266558,834
266559,185
266564,457
266626,758
266744,385
266757,655
266762,222
266858,112
266915,537
266922,
267118,318
267602,6329
267619,2053
267761,653
267774,36
267853,5
267871,662
267961,1056
268018,1614
268073,3210
268143,1278
268153,
268301,956
268343,226
268391,627
268589,2822
268649,1619
268733,191
268817,958
268823,175
268845,1195
268883,270
268915,570
269065,
269076,585
269082,2182
269204,1751
269220,1600
269243,4339
269245,607
269388,1024
269508,2474
269510,319
269575,2067
269584,1413
269593,210
269676,7655
269677,325
269730,4416
269764,827
269856,1067
270393,940
270399,22
270421,3592
270435,588
270468,
270493,266
270502,485
270567,793
270638,2202
270646,190
270764,38
270814,2330
270988,1544
271036,868
271047,7
271206,158
271251,3348
271274,
271346,
271467,156
271526,792
271974,985
272000,190
272172,242
272313,122
272580,741
272617,97
272623,674
272701,25
272704,1
273339,404
273346,2080
273442,3225
273605,1174
273731,704
273782,3559
273877,352
274218,1498
274247,202
274443,1913
274712,86
274947,251
274964,830
274967,1581
274971,580
275006,830
275112,527
275127,184
275136,416
275151,6075
275162,1146
275180,3886
275232,1451
275296,165
275297,2453
275309,850
275674,2090
275711,3753
275792,605
275882,10
276265,7863
276314,2013
276337,272
276388,2593
276717,2755
276808,2986
276830,283
276857,1369
276893,894
276925,1202
276935,2470
277044,4403
277123,537
277166,548
277384,1310
277412,229
277537,538
277577,4782
277596,1163
277729,395
277733,
277812,1343
277880,2028
277967,1166
278155,5949
278272,274
278282,
278380,3108
278413,278
278447,511
278600,91
278786,692
278794,523
278861,10301
278955,1590
278962,647
279085,4738
279117,243
279238,9
279440,2874
279572,1183
279653,4664
279747,10768
279750,6923
279755,2173
279839,295
279868,635
279879,128
279883,469
280017,1797
280054,207
280140,107
280151,71
280152,1585
280541,35
280962,
281022,492
281077,895
281118,756
281134,4141
281172,874
281250,130
281252,20
281261,569
281271,478
281564,2443
281589,59
281619,362
281636,2682
281638,2961
281651,3758
281656,387
281799,89
281801,1969
281920,1040
281970,22
282038,187
282193,9642
282317,2475
282385,28
282388,623
282498,1
282585,13
282713,652
282785,74
282806,2671
282821,1961
282849,5243
282879,6103
282962,3
282975,4014
283035,189
283050,1153
283055,1237
283131,386
283133,2329
283230,
283348,
283402,5305
283535,300
283564,534
283618,
283783,444
283798,898
283953,4297
283978,42
284036,2403
284076,557
284095,2825
284246,2279
284326,538
284395,4684
284540,330
284593,14
284636,287
284734,51
284741,180
284742,
284762,854
284812,3365
284906,405
285050,370
285085,121
285096,3324
285170,12938
285193,658
285223,131
285315,
285391,2272
285412,1798
285470,142
285475,2542
285481,
285557,701
285567,3064
285633,287
285637,196
285705,484
285861,13
285912,600
285934,4020
285996,
286067,116
286160,
286262,839
286338,1444
286402,1669
286422,2635
286442,50
286449,240
286484,156
286488,
286527,678
286658,3148
286690,237
286762,443
286778,2986
286842,683
286914,505
286947,1044
287040,2267
287079,3070
287099,4876
287107,4822
287204,1845
287210,3275
287258,3905
287309,648
287432,1469
287526,737
287548,483
287679,1293
287715,147
287783,981
287897,177
287954,231
288086,426
288282,4018
288380,18
288407,18
288655,64
288769,2
288967,689
288990,87
288994,134
289009,894
289108,1834
289221,6427
289247,2693
289304,3850
289397,476
289449,1336
289529,25
289564,934
289618,740
289676,145
289753,239
289826,92
289965,108
290043,349
290089,1260
290164,5805
290184,248
290201,1740
290252,2987
290371,254
290382,2842
290521,1694
290550,177
290658,225
290757,652
290854,1166
290914,146
291005,1483
291037,569
291133,2865
291156,304
291159,3177
291194,689
291237,4379
291334,5231
291516,764
291544,628
291674,3305
291745,12100
291805,3609
291844,722
291848,134
291937,147
291960,6505
292027,108
292136,460
292525,311
292537,339
292694,915
292713,321
292741,19
292775,1859
293162,1822
293317,2215
293321,3
293387,2047
293454,665
293670,54
293686,7987
293699,187
293712,466
293754,990
293760,157
293824,7901
293853,395
293989,277
293992,451
294112,3154
294134,1168
294219,4941
294364,1779
294381,338
294496,1422
294513,1925
294570,1775
294594,865
294655,2219
294679,1596
294920,
294929,3665
294961,536
294999,54
295060,1097
295075,1642
295118,2462
295255,7619
295728,296
295741,3099
295754,626
295893,659
296100,47
296138,552
296222,1223
296232,620
296332,2152
296411,1225
296424,1695
296725,413
296849,10
296904,2623
296911,9
296993,574
297014,
297166,1158
297179,3548
297218,2113
297341,2844
297382,32
297484,2812
297685,1078
297806,126
297853,2477
297990,592
298034,
298040,17503
298148,741
298186,516
298187,1070
298303,894
298322,522
298402,3123
298476,1014
298497,2039
298696,514
298777,529
298838,1604
298911,82
298961,481
299027,24
299237,4907
299281,5503
299473,1129
299536,304
299707,1337
299886,4151
299949,1259
300057,163
300059,293
300264,1533
300398,1997
300508,628
300592,1543
300594,293
300611,1077
300819,387
301036,
301074,2913
301232,3094
301298,170
301498,495
301561,431
301583,399
301967,193
301987,943
302071,
302145,605
302302,513
302363,543
302476,1766
302522,310
302566,1165
302924,3067
303141,7633
303165,3202
303218,1458
303288,376
303331,930
303341,39
303521,
303582,429
303595,6042
303617,575
303937,2
303985,381
304069,91
304106,28
304240,1117
304465,3553
304500,139
304589,4421
304607,238
304734,667
304893,181
305036,808
305064,5355
305152,146
305173,41
305313,31
305373,320
305386,1277
305535,
305539,68
305659,1701
305702,352
305783,2367
305792,1486
305812,97
305858,1967
305876,1964
305909,1513
305918,1482
305935,53
305945,12
306107,987
306150,2700
306202,
306466,1220
306478,671
306610,1018
306646,144
306880,
306886,155
306897,2742
306944,425
306964,536
306984,102
307061,1081
307116,664
307158,266
307230,193
307245,1490
307290,464
307291,1169
307297,133
307386,230
307676,595
307689,5960
307866,1476
307932,261
307953,
308231,370
308345,479
308359,75
308363,3059
308391,273
308509,41
308589,270
308703,
308707,500
308767,460
308775,1508
308807,523
308850,114
308852,56
308918,267
308953,
309048,322
309118,1199
309142,560
309150,296
309175,188
309258,177
309350,1578
309580,6180
309709,420
309734,701
309756,777
309893,2672
310088,280
310125,188
310205,3104
310280,1164
310412,2339
310646,2396
310765,1009
310865,160
310933,417
310968,1598
311042,59
311117,823
311151,227
311158,707
311235,1168
311332,531
311474,99
311599,331
311616,2432
311659,112
311845,3860
311862,498
311877,718
311889,266
311917,2230
312061,1011
312126,739
312141,72
312231,
312518,63
312537,12882
312760,
312761,1130
312782,281
312886,10
312960,1257
313206,868
313243,3662
313246,183
313501,1906
313561,6802
313700,3854
313756,1929
313810,724
313925,469
313937,6965
313975,4007
314252,1084
314507,3679
314548,1743
314555,169
314675,409
314776,4326
314801,699
314850,555
314956,1295
315025,3743
315076,1435
315082,37
315105,737
315186,787
315322,
315388,165
315517,614
315625,717
315723,5
315728,1527
315730,1753
315744,4574
315795,
315808,5073
315850,4860
315909,421
315945,5543
316061,220
316076,3102
316082,1839
316091,347
316098,2159
316227,6049
316289,1713
316327,960
316541,5291
316772,188
316841,2396
317096,
317394,3147
317399,42
317801,4070
318056,1786
318068,3042
318101,379
318139,636
318147,5247
318241,5248
318500,492
318574,95
318627,5471
318769,2066
318794,954
318848,407
318855,93
318876,657
318919,818
318933,1281
318977,281
319042,9175
319047,6589
319073,3191
