,id_student,gender,region,highest_education,age_band,disability,final_result,score
76,175932,M,North Western Region,HE Qualification,35-55,N,Pass,79
77,175991,F,North Western Region,A Level or Equivalent,0-35,N,Fail,38
78,180753,M,South West Region,A Level or Equivalent,0-35,N,Pass,54
79,181316,F,South West Region,A Level or Equivalent,35-55,N,Withdrawn,76
80,183096,F,South West Region,A Level or Equivalent,0-35,N,Pass,54
81,183947,M,London Region,A Level or Equivalent,0-35,N,Pass,49
82,184271,M,South West Region,HE Qualification,35-55,N,Pass,60
83,185439,M,London Region,HE Qualification,0-35,N,Fail,74
84,186149,M,Scotland,HE Qualification,35-55,N,Pass,76
85,187100,M,South East Region,A Level or Equivalent,35-55,N,Distinction,90
86,188278,M,Yorkshire Region,A Level or Equivalent,35-55,N,Withdrawn,72
87,188278,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,72
88,189879,M,Scotland,A Level or Equivalent,0-35,N,Pass,80
89,192183,F,South West Region,Lower Than A Level,0-35,N,Pass,69
90,195262,M,London Region,A Level or Equivalent,0-35,N,Withdrawn,50
91,200860,M,London Region,Lower Than A Level,35-55,N,Pass,55
92,202635,F,Wales,A Level or Equivalent,0-35,N,Withdrawn,67
93,205350,M,South West Region,HE Qualification,35-55,N,Pass,73
94,205719,M,East Anglian Region,A Level or Equivalent,0-35,Y,Fail,57
95,227499,F,London Region,A Level or Equivalent,35-55,N,Distinction,84
96,227517,M,Ireland,HE Qualification,0-35,N,Fail,63
97,228082,M,London Region,HE Qualification,0-35,N,Pass,73
98,228222,M,East Midlands Region,Lower Than A Level,0-35,N,Pass,62
99,229179,M,West Midlands Region,A Level or Equivalent,0-35,N,Pass,66
100,229361,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,78
101,231554,M,London Region,A Level or Equivalent,0-35,N,Pass,68
102,235507,M,Yorkshire Region,A Level or Equivalent,0-35,N,Withdrawn,58
103,235507,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,58
104,236284,M,Scotland,Post Graduate Qualification,0-35,N,Pass,78
105,238007,M,South Region,HE Qualification,55<=,N,Pass,80
106,240712,M,London Region,HE Qualification,0-35,N,Pass,76
107,240884,M,South Region,A Level or Equivalent,0-35,N,Pass,59
108,241649,M,East Anglian Region,HE Qualification,35-55,N,Pass,79
109,241729,F,East Midlands Region,HE Qualification,35-55,N,Fail,59
110,242793,M,London Region,HE Qualification,35-55,N,Pass,78
111,246834,M,South West Region,A Level or Equivalent,35-55,N,Pass,56
112,248270,M,North Western Region,Lower Than A Level,0-35,N,Pass,79
113,255548,M,Wales,Lower Than A Level,35-55,N,Pass,72
114,256815,M,North Western Region,HE Qualification,0-35,N,Pass,77
115,258392,F,West Midlands Region,Lower Than A Level,0-35,N,Pass,59
116,258894,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,65
117,260355,F,London Region,A Level or Equivalent,35-55,N,Withdrawn,58
118,260355,F,London Region,A Level or Equivalent,35-55,N,Withdrawn,58
119,262011,M,East Midlands Region,A Level or Equivalent,35-55,N,Pass,71
120,262934,F,North Western Region,A Level or Equivalent,35-55,N,Pass,77
121,268073,M,East Anglian Region,A Level or Equivalent,35-55,N,Fail,75
122,268733,M,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,43
123,268733,M,East Anglian Region,A Level or Equivalent,0-35,N,Fail,43
124,271251,M,Scotland,A Level or Equivalent,35-55,N,Pass,77
125,277880,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,68
126,277880,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,68
127,279572,M,London Region,Lower Than A Level,0-35,N,Distinction,80
128,281022,F,Scotland,A Level or Equivalent,0-35,N,Pass,74
129,281250,M,Wales,Lower Than A Level,35-55,N,Fail,56
130,282821,M,South West Region,A Level or Equivalent,35-55,N,Pass,61
131,286488,M,South East Region,A Level or Equivalent,35-55,N,Pass,71
132,287548,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,68
133,290201,M,Wales,A Level or Equivalent,0-35,N,Pass,71
134,290757,M,North Western Region,A Level or Equivalent,0-35,N,Pass,75
135,291334,M,South East Region,A Level or Equivalent,35-55,N,Distinction,84
136,293699,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,47
137,294570,M,South East Region,HE Qualification,55<=,N,Pass,79
138,294594,M,South East Region,A Level or Equivalent,0-35,N,Pass,53
139,295741,M,South East Region,A Level or Equivalent,35-55,N,Fail,71
140,295741,M,South East Region,A Level or Equivalent,35-55,N,Pass,71
141,296332,M,South Region,Post Graduate Qualification,55<=,N,Distinction,87
142,298696,F,South East Region,HE Qualification,0-35,N,Pass,81
143,300398,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,79
144,302302,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,59
145,305152,M,North Western Region,A Level or Equivalent,0-35,N,Fail,64
146,305386,M,West Midlands Region,A Level or Equivalent,0-35,Y,Pass,78
147,306107,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,59
148,306466,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,82
149,306897,F,London Region,A Level or Equivalent,0-35,N,Pass,63
150,307061,F,East Midlands Region,HE Qualification,0-35,N,Pass,82
151,307866,M,West Midlands Region,A Level or Equivalent,0-35,N,Pass,60
152,311917,M,South West Region,A Level or Equivalent,55<=,N,Pass,60
153,312537,M,South Region,Post Graduate Qualification,55<=,N,Distinction,88
154,312782,M,South Region,A Level or Equivalent,0-35,N,Pass,62
155,318933,F,East Anglian Region,HE Qualification,0-35,N,Pass,67
156,319047,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,79
157,321942,M,South Region,HE Qualification,55<=,N,Pass,81
158,324002,M,East Anglian Region,HE Qualification,35-55,N,Pass,81
159,324084,F,South West Region,A Level or Equivalent,35-55,N,Pass,58
160,324282,M,South East Region,A Level or Equivalent,0-35,N,Pass,62
161,331358,F,South Region,HE Qualification,35-55,N,Withdrawn,85
162,331358,F,South Region,HE Qualification,35-55,N,Distinction,85
163,332789,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,75
164,333059,M,Scotland,A Level or Equivalent,0-35,N,Pass,66
165,333323,M,Scotland,HE Qualification,0-35,N,Pass,75
166,334259,F,London Region,A Level or Equivalent,0-35,N,Fail,53
167,334333,F,South West Region,A Level or Equivalent,0-35,Y,Withdrawn,36
168,335764,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,87
169,335764,F,South East Region,A Level or Equivalent,0-35,N,Pass,87
170,336207,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,69
171,339972,M,North Region,A Level or Equivalent,0-35,N,Pass,50
172,341872,M,East Anglian Region,Lower Than A Level,0-35,N,Fail,65
173,342007,F,West Midlands Region,HE Qualification,0-35,N,Withdrawn,83
174,342007,F,West Midlands Region,HE Qualification,0-35,N,Pass,83
175,342514,M,Scotland,Lower Than A Level,55<=,N,Pass,78
176,342972,M,Yorkshire Region,HE Qualification,0-35,N,Pass,61
177,343446,M,Ireland,HE Qualification,35-55,N,Pass,79
178,344282,M,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,50
179,345068,M,East Anglian Region,A Level or Equivalent,0-35,Y,Pass,78
180,345357,M,Yorkshire Region,A Level or Equivalent,0-35,N,Distinction,81
181,346025,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,83
182,350188,M,North Western Region,HE Qualification,35-55,N,Pass,74
183,357668,M,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,57
184,364177,M,East Anglian Region,Lower Than A Level,35-55,N,Fail,69
185,365244,F,London Region,A Level or Equivalent,0-35,N,Pass,57
186,365642,M,East Anglian Region,Lower Than A Level,35-55,N,Pass,70
187,366483,M,South West Region,HE Qualification,0-35,N,Pass,77
188,368194,F,South West Region,A Level or Equivalent,0-35,Y,Pass,51
189,368824,M,Wales,HE Qualification,35-55,N,Fail,56
190,368963,M,Yorkshire Region,Lower Than A Level,0-35,N,Pass,67
191,376439,M,North Region,HE Qualification,0-35,N,Distinction,87
192,376581,F,South Region,A Level or Equivalent,35-55,N,Pass,73
193,380953,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,68
194,383254,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,76
195,386924,M,Ireland,Lower Than A Level,0-35,N,Pass,68
196,386952,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,68
197,388722,F,London Region,Lower Than A Level,35-55,N,Pass,64
198,388885,M,South West Region,A Level or Equivalent,35-55,N,Pass,61
199,390890,M,Scotland,A Level or Equivalent,0-35,N,Withdrawn,69
200,390890,M,Scotland,A Level or Equivalent,0-35,N,Pass,69
201,392756,M,West Midlands Region,A Level or Equivalent,0-35,N,Fail,45
202,392931,F,North Western Region,A Level or Equivalent,35-55,N,Pass,69
203,393207,M,North Western Region,A Level or Equivalent,0-35,N,Pass,75
204,396872,M,Yorkshire Region,HE Qualification,0-35,N,Pass,62
205,398552,M,Yorkshire Region,Lower Than A Level,0-35,N,Fail,47
206,401869,F,South East Region,Lower Than A Level,0-35,N,Pass,65
207,402470,M,South West Region,Lower Than A Level,35-55,N,Pass,73
208,404804,M,Wales,Lower Than A Level,35-55,N,Pass,44
209,405088,M,North Region,A Level or Equivalent,0-35,N,Pass,78
210,414117,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,77
211,415969,M,West Midlands Region,HE Qualification,35-55,N,Withdrawn,60
212,415969,M,West Midlands Region,HE Qualification,35-55,N,Fail,60
213,420087,M,Scotland,A Level or Equivalent,0-35,Y,Fail,76
214,429958,F,North Western Region,A Level or Equivalent,0-35,N,Pass,59
215,441018,F,South East Region,A Level or Equivalent,0-35,N,Pass,60
216,441888,M,London Region,A Level or Equivalent,0-35,N,Pass,71
217,442442,M,South West Region,HE Qualification,0-35,N,Withdrawn,41
218,444677,M,London Region,HE Qualification,0-35,N,Distinction,88
219,470588,M,South East Region,HE Qualification,35-55,N,Withdrawn,80
220,470588,M,South East Region,HE Qualification,35-55,N,Withdrawn,80
221,489455,F,South West Region,A Level or Equivalent,0-35,N,Pass,71
222,495284,M,South East Region,HE Qualification,0-35,N,Pass,67
223,498857,M,North Western Region,HE Qualification,35-55,N,Pass,73
224,508818,M,London Region,A Level or Equivalent,0-35,N,Pass,72
225,512460,M,South East Region,HE Qualification,0-35,N,Pass,73
226,544103,M,North Western Region,HE Qualification,0-35,N,Pass,81
227,550383,M,South East Region,HE Qualification,0-35,N,Pass,72
228,564450,M,West Midlands Region,HE Qualification,0-35,N,Fail,60
229,568601,F,Scotland,HE Qualification,0-35,N,Withdrawn,82
230,572652,M,West Midlands Region,HE Qualification,0-35,N,Pass,74
231,580389,M,Ireland,HE Qualification,0-35,N,Pass,72
232,581129,M,East Anglian Region,A Level or Equivalent,0-35,N,Fail,40
233,588775,M,South West Region,A Level or Equivalent,0-35,N,Pass,83
234,591774,M,South Region,Post Graduate Qualification,35-55,N,Pass,77
235,603861,M,North Region,HE Qualification,55<=,N,Withdrawn,63
236,603861,M,North Region,HE Qualification,55<=,N,Withdrawn,63
237,606143,M,Scotland,Post Graduate Qualification,35-55,N,Fail,66
238,704156,M,South Region,HE Qualification,55<=,N,Pass,66
239,705379,M,West Midlands Region,A Level or Equivalent,55<=,N,Distinction,81
240,721259,F,South Region,Lower Than A Level,55<=,N,Withdrawn,65
241,721259,F,South Region,Lower Than A Level,55<=,N,Withdrawn,65
242,749412,M,South Region,Lower Than A Level,55<=,N,Pass,72
243,760729,M,West Midlands Region,A Level or Equivalent,55<=,N,Distinction,82
244,905042,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,77
245,949618,F,South West Region,A Level or Equivalent,35-55,N,Pass,62
246,958987,M,North Western Region,HE Qualification,35-55,N,Pass,78
247,968578,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,72
248,969076,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,60
249,971027,F,West Midlands Region,HE Qualification,35-55,N,Pass,68
250,978739,M,South Region,HE Qualification,35-55,N,Pass,57
251,1035023,F,London Region,Lower Than A Level,35-55,N,Pass,70
252,1105478,M,Scotland,HE Qualification,55<=,N,Pass,83
253,1352868,M,Yorkshire Region,A Level or Equivalent,35-55,N,Withdrawn,69
254,1352868,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,69
255,1401935,M,West Midlands Region,A Level or Equivalent,35-55,N,Fail,35
256,1402638,F,East Midlands Region,HE Qualification,35-55,N,Pass,76
257,1414443,F,Yorkshire Region,A Level or Equivalent,35-55,N,Fail,59
258,1456619,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,63
259,1456619,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,63
260,1465690,M,West Midlands Region,HE Qualification,35-55,N,Pass,82
261,1472925,F,East Anglian Region,Lower Than A Level,35-55,Y,Fail,62
262,1472925,F,East Anglian Region,Lower Than A Level,35-55,Y,Pass,62
263,1488959,M,London Region,A Level or Equivalent,35-55,N,Pass,62
264,1518989,F,South East Region,Lower Than A Level,35-55,N,Pass,73
265,1618738,M,London Region,Lower Than A Level,35-55,N,Pass,80
266,1620151,M,South Region,HE Qualification,35-55,N,Fail,78
267,1626710,M,North Western Region,A Level or Equivalent,35-55,N,Distinction,85
268,1640609,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,85
269,1686521,F,North Western Region,Lower Than A Level,35-55,N,Withdrawn,68
270,1729319,F,Scotland,HE Qualification,35-55,N,Pass,79
271,1746134,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,84
272,1758449,M,South Region,Lower Than A Level,35-55,N,Withdrawn,61
273,1765788,M,South East Region,HE Qualification,55<=,N,Pass,67
274,1801229,M,Ireland,HE Qualification,35-55,N,Pass,77
275,1801641,M,Scotland,A Level or Equivalent,35-55,N,Pass,78
276,1847830,M,South West Region,Lower Than A Level,35-55,N,Pass,71
277,1860318,M,South West Region,Lower Than A Level,35-55,Y,Pass,63
278,1889511,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,72
279,1889577,F,South Region,A Level or Equivalent,35-55,Y,Pass,74
280,1894188,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,71
281,1938355,M,South Region,A Level or Equivalent,35-55,N,Pass,73
282,1942396,F,East Anglian Region,Lower Than A Level,35-55,Y,Pass,54
283,1970390,M,West Midlands Region,Lower Than A Level,35-55,N,Withdrawn,84
284,1970390,M,West Midlands Region,Lower Than A Level,35-55,N,Pass,84
285,1976139,M,Ireland,Lower Than A Level,35-55,N,Pass,68
286,2011876,F,East Anglian Region,A Level or Equivalent,0-35,Y,Pass,76
287,2012966,M,North Western Region,Lower Than A Level,35-55,N,Pass,79
288,2051699,F,South West Region,Lower Than A Level,35-55,N,Pass,67
289,2062879,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,62
290,2065691,M,London Region,A Level or Equivalent,35-55,Y,Withdrawn,36
291,2073016,F,London Region,Lower Than A Level,35-55,N,Withdrawn,59
292,2073016,F,London Region,Lower Than A Level,35-55,N,Fail,59
293,2080474,F,South Region,A Level or Equivalent,35-55,N,Pass,70
294,2083877,F,West Midlands Region,A Level or Equivalent,0-35,N,Pass,68
295,2084066,F,South West Region,Lower Than A Level,35-55,N,Fail,60
296,2104505,M,West Midlands Region,Lower Than A Level,35-55,N,Pass,66
297,2122180,F,North Western Region,Lower Than A Level,35-55,N,Distinction,83
298,2139353,M,London Region,A Level or Equivalent,35-55,N,Withdrawn,67
299,2139353,M,London Region,A Level or Equivalent,35-55,N,Pass,67
300,2143752,F,South Region,Lower Than A Level,35-55,N,Pass,53
301,2146792,M,North Western Region,HE Qualification,55<=,N,Pass,70
302,2153153,F,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,63
303,2155014,F,West Midlands Region,Lower Than A Level,0-35,Y,Pass,74
304,2164705,F,North Western Region,A Level or Equivalent,0-35,N,Fail,70
305,2171627,F,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,69
306,2182846,F,London Region,A Level or Equivalent,35-55,N,Pass,66
307,2194100,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,68
308,2197016,F,North Western Region,HE Qualification,35-55,N,Pass,76
309,2208424,M,Scotland,A Level or Equivalent,0-35,N,Pass,72
310,2229865,F,West Midlands Region,A Level or Equivalent,35-55,N,Pass,77
311,2255601,F,South Region,A Level or Equivalent,35-55,N,Withdrawn,55
312,2268379,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,83
313,2278464,M,South Region,Lower Than A Level,35-55,N,Pass,52
314,2293923,M,South Region,A Level or Equivalent,0-35,N,Pass,62
315,2312620,F,East Midlands Region,HE Qualification,35-55,N,Withdrawn,32
316,2318055,M,Wales,A Level or Equivalent,35-55,N,Withdrawn,76
317,2318055,M,Wales,A Level or Equivalent,35-55,N,Pass,76
318,2329342,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,58
319,2339528,F,London Region,Lower Than A Level,0-35,N,Distinction,80
320,2342426,M,Yorkshire Region,Lower Than A Level,35-55,N,Fail,74
321,2344901,F,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,52
322,2358056,F,North Region,HE Qualification,0-35,N,Fail,68
323,2358969,F,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,69
324,2358969,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,69
325,2364471,F,Scotland,HE Qualification,0-35,Y,Pass,84
326,2367155,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,76
327,2369266,F,London Region,Lower Than A Level,35-55,N,Pass,51
328,2376496,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,74
329,2391984,M,South Region,A Level or Equivalent,0-35,N,Withdrawn,73
330,2411661,F,South Region,A Level or Equivalent,0-35,N,Fail,47
331,2411778,M,Scotland,HE Qualification,0-35,N,Withdrawn,80
332,2412002,M,South West Region,Lower Than A Level,35-55,N,Distinction,83
333,2412967,F,South Region,A Level or Equivalent,35-55,N,Pass,78
334,2429854,M,London Region,A Level or Equivalent,35-55,Y,Withdrawn,51
335,2429854,M,London Region,A Level or Equivalent,35-55,Y,Fail,51
336,2437837,F,North Region,A Level or Equivalent,0-35,N,Pass,75
337,2449878,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,61
338,2456480,M,Scotland,Lower Than A Level,35-55,N,Fail,25
339,2457256,M,South Region,Lower Than A Level,35-55,N,Pass,70
340,2458355,M,London Region,Lower Than A Level,35-55,N,Pass,91
341,2460080,M,Scotland,HE Qualification,55<=,N,Pass,79
342,2461190,M,South Region,HE Qualification,55<=,N,Fail,56
343,2469673,F,Yorkshire Region,Lower Than A Level,35-55,N,Fail,45
344,2470694,F,Scotland,HE Qualification,55<=,N,Withdrawn,67
345,2470694,F,Scotland,HE Qualification,55<=,N,Fail,67
346,2479954,M,North Western Region,A Level or Equivalent,0-35,N,Pass,80
347,2481901,M,Wales,Lower Than A Level,35-55,N,Pass,76
348,2482700,M,South Region,Lower Than A Level,0-35,N,Pass,56
349,2486127,F,East Anglian Region,HE Qualification,0-35,N,Pass,74
350,2498700,F,North Western Region,Lower Than A Level,0-35,N,Pass,78
351,2516503,M,South East Region,HE Qualification,35-55,N,Pass,80
352,2518069,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,77
353,2521459,F,London Region,Lower Than A Level,0-35,N,Pass,61
354,2523736,M,North Western Region,A Level or Equivalent,55<=,N,Pass,62
355,2529279,F,North Western Region,HE Qualification,35-55,N,Pass,78
356,2532302,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,64
357,2536991,M,South Region,HE Qualification,55<=,N,Distinction,81
358,2550279,F,North Region,HE Qualification,35-55,N,Pass,63
359,2551220,F,South Region,Lower Than A Level,0-35,N,Pass,65
360,2552472,F,South Region,HE Qualification,35-55,N,Withdrawn,54
361,2555340,F,South Region,HE Qualification,35-55,N,Pass,81
362,2557283,M,Yorkshire Region,HE Qualification,55<=,N,Pass,82
363,2559575,M,South West Region,Lower Than A Level,0-35,N,Pass,72
364,2562034,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,66
365,2566163,F,South Region,A Level or Equivalent,0-35,N,Pass,72
366,2566592,F,South Region,A Level or Equivalent,35-55,N,Pass,72
367,2569324,M,South Region,A Level or Equivalent,0-35,N,Withdrawn,72
368,2569324,M,South Region,A Level or Equivalent,0-35,N,Pass,72
369,2574528,M,Ireland,HE Qualification,35-55,N,Pass,76
370,2574583,M,Yorkshire Region,Lower Than A Level,35-55,N,Pass,71
371,2576122,M,North Western Region,A Level or Equivalent,0-35,N,Withdrawn,64
372,2576122,M,North Western Region,A Level or Equivalent,35-55,N,Fail,64
373,2578995,F,West Midlands Region,A Level or Equivalent,0-35,Y,Pass,80
374,2586560,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,74
375,2594139,F,South West Region,A Level or Equivalent,0-35,N,Pass,76
376,2598871,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,73
377,2599352,F,Scotland,A Level or Equivalent,0-35,N,Pass,77
378,2600688,M,West Midlands Region,A Level or Equivalent,0-35,N,Pass,70
379,2606098,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,72
380,2613116,F,London Region,Lower Than A Level,35-55,N,Pass,79
381,2617002,F,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,65
382,2639449,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,56
383,2639540,F,North Western Region,A Level or Equivalent,35-55,N,Pass,80
384,2639641,M,South East Region,Lower Than A Level,35-55,N,Pass,66
385,2641155,M,East Midlands Region,Lower Than A Level,35-55,N,Pass,80
386,2643002,F,South West Region,A Level or Equivalent,35-55,N,Pass,52
387,2645733,F,South West Region,A Level or Equivalent,0-35,N,Pass,83
388,2649826,M,East Anglian Region,Lower Than A Level,35-55,N,Distinction,84
389,2650282,M,London Region,A Level or Equivalent,35-55,N,Pass,85
390,2664024,M,South East Region,HE Qualification,35-55,N,Pass,64
391,2666246,M,North Western Region,A Level or Equivalent,0-35,N,Pass,76
392,2669816,M,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,58
393,2671132,M,London Region,HE Qualification,55<=,N,Pass,69
394,2676809,F,North Region,HE Qualification,0-35,N,Fail,44
395,2678643,F,South Region,A Level or Equivalent,0-35,N,Pass,72
396,2685865,F,East Midlands Region,Lower Than A Level,0-35,N,Pass,79
397,2688067,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,68
398,2689958,M,East Anglian Region,A Level or Equivalent,35-55,N,Distinction,82
